TT     PID    AT     CT     IO_D     WT      RT     TRT    
10     4      5      81      5       5       0      5      
20     55     20     14      0       0       0      0      
20     5      7      27      0       0       0      13     
30     7      10     73      9       20      0      20     
55     23     35     20      0       0       0      20     
59     49     16     43      0       43      0      43     
59     52     17     42      0       42      0      42     
59     46     13     46      0       0       0      46     
59     47     15     44      0       44      0      44     
59     43     11     48      0       0       0      48     
59     48     15     44      0       44      0      44     
59     51     17     42      0       42      0      42     
59     45     13     46      0       0       0      46     
59     40     10     49      0       0       0      49     
80     24     37     40      3       3       0      43     
86     59     37     49      0       49      0      49     
86     60     38     48      0       48      0      48     
86     39     9      50      0       27      27     77     
126    57     25     101     0       101     0      101    
126    58     28     98      0       98      0      98     
126    38     8      106     0       12      12     118    
139    36     6      133     0       133     0      133    
139    65     60     126     0       79      0      79     
139    68     63     123     0       76      0      76     
139    50     17     127     0       42      42     122    
139    71     87     124     0       52      0      52     
139    72     97     114     0       42      0      42     
139    54     19     125     0       67      67     120    
139    41     10     129     0       5       5      129    
139    63     60     127     0       79      0      79     
139    69     64     123     0       75      0      75     
139    42     11     128     0       48      48     128    
139    37     7      132     0       0       0      132    
139    3      5      134     0       0       0      134    
143    32     48     70      6       25      0      95     
147    25     37     35      0       75      0      110    
160    75     130    30      0       30      0      30     
160    76     131    29      0       29      0      29     
160    14     21     34      0       105     105    139    
161    64     60     101     0       101     0      101    
161    77     140    98      0       21      0      21     
161    84     142    96      0       19      0      19     
161    66     62     99      0       76      77     99     
161    44     12     102     0       47      47     149    
162    73     110    52      0       52      0      52     
162    79     141    49      0       21      0      21     
162    86     144    46      0       18      0      18     
162    74     111    51      0       27      28     51     
162    34     54     55      0       53      53     108    
174    27     40     27      0       107     107    134    
200    12     19     80      4       101     0      181    
207    19     25     93      14      89      0      182    
216    20     27     108     0       81      53     189    
224    80     141    83      0       83      0      83     
224    83     142    82      0       82      0      82     
224    53     18     85      0       121     121    206    
232    15     21     88      22      123     0      211    
233    2      3      56      27      174     0      230    
234    92     166    76      0       68      0      68     
234    96     170    72      0       64      0      64     
234    90     164    78      0       -1      0      70     
234    97     172    70      0       62      0      62     
234    56     21     82      0       138     139    213    
234    8      13     90      30      131     0      221    
236    28     40     70      3       126     0      196    
239    22     34     127     0       78      0      205    
257    99     235    106     0       22      0      22     
257    100    236    105     0       21      0      21     
257    78     140    117     0       83      84     117    
257    82     141    116     0       116     0      116    
257    62     56     118     0       83      83     201    
259    89     163    195     0       96      0      96     
259    103    241    180     0       16      17     18     
259    104    242    179     0       17      0      17     
259    98     172    186     0       62      63     87     
259    67     62     197     0       98      99     197    
259    101    236    190     0       23      0      23     
259    102    240    186     0       19      0      19     
259    85     143    191     0       91      92     116    
