TT     PID    AT     CT     IO_D     WT      RT     TRT    
15     2      10     56      27      0       0      5      
20     3      15     134     0       0       0      5      
25     4      20     81      5       0       0      5      
30     5      25     27      0       0       0      5      
35     6      30     107     22      1       1      5      
45     7      39     73      9       0       0      6      
49     8      41     90      30      4       4      8      
65     103    58     125     0       7       0      7      
65     11     48     134     4       1       1      17     
70     12     50     80      4       15      15     20     
102    18     71     161     19      31      0      31     
107    23     87     20      0       0       0      20     
120    104    114    26      0       6       0      6      
120    25     100    35      0       5       5      20     
140    27     110    56      27      30      0      30     
165    31     130    107     22      35      0      35     
175    32     139    73      9       36      0      36     
216    39     163    34      0       19      4      53     
218    41     168    199     20      50      0      50     
230    30     125    27      0       78      2      105    
242    102    52     172     0       18      18     190    
269    107    247    22      0       22      0      22     
269    24     95     40      3       134     0      174    
270    14     63     34      0       173     173    207    
283    48     187    20      0       76      8      96     
285    13     54     92      5       139     43     231    
335    75     300    35      0       0       0      35     
350    55     225    27      0       98      12     125    
355    57     239    73      9       43      0      116    
361    109    360    1       0       1       0      1      
361    73     287    20      0       54      54     74     
403    74     295    40      3       68      0      108    
410    108    296    114     0       114     0      114    
410    72     283    127     0       0       0      127    
434    111    417    17      0       17      0      17     
434    64     263    34      0       137     20     171    
456    100    400    35      0       21      21     56     
460    29     120    81      5       259     0      340    
463    50     200    35      0       228     11     263    
483    45     177    108     0       198     198    306    
502    101    32     192     0       278     64     470    
568    70     277    108     0       183     183    291    
588    9      43     121     21      424     0      545    
596    49     195    40      3       361     8      401    
600    98     387    20      0       193     0      213    
605    80     325    27      0       253     10     280    
650    10     45     200     0       405     6      605    
665    33     141    90      30      434     0      524    
669    119    600    69      0       69      0      69     
669    114    505    72      0       92      92     164    
678    99     395    40      3       243     16     283    
679    47     183    127     0       369     102    496    
694    118    560    71      0       134     0      134    
694    54     220    81      5       393     330    474    
697    120    666    33      0       31      0      31     
697    112    464    85      0       149     150    233    
697    94     374    93      14      230     82     323    
700    65     265    88      22      347     44     435    
749    115    523    54      0       226     0      226    
749    40     165    88      22      496     49     584    
754    121    744    10      0       10      0      10     
754    113    469    56      0       229     229    285    
770    116    546    16      0       208     208    224    
771    34     143    121     21      507     28     628    
810    90     365    88      22      357     11     445    
816    88     354    92      5       370     49     462    
821    44     174    93      14      554     56     647    
823    97     383    127     0       313     138    440    
828    89     363    34      0       431     23     465    
829    79     320    81      5       428     0      509    
831    52     210    56      27      565     8      621    
833    87     350    80      4       403     20     483    
836    82     339    73      9       424     163    497    
844    123    783    61      0       61      0      61     
844    124    797    47      0       47      0      47     
844    117    547    147     0       150     150    297    
870    59     243    121     21      506     7      627    
904    22     83     127     0       694     0      821    
906    122    782    85      0       39      39     124    
907    19     74     93      14      740     1      833    
911    110    361    49      0       501     62     550    
922    15     65     88      22      769     0      857    
932    77     310    56      27      566     54     622    
932    83     341    90      30      501     142    591    
933    125    845    88      0       88      0      88     
933    126    849    84      0       84      0      84     
933    106    206    136     0       591     482    727    
950    56     230    107     22      613     16     720    
954    38     154    92      5       708     31     800    
959    69     274    93      14      592     296    685    
999    53     215    134     0       650     141    784    
1001   20     77     108     0       816     0      924    
1059   105    198    144     0       717     162    861    
1082   92     369    150     15      563     175    713    
1095   36     148    134     4       813     4      947    
1123   63     254    92      5       777     14     869    
1126   37     150    80      4       896     7      976    
1144   62     250    80      4       814     133    894    
1218   95     377    108     0       733     196    841    
1218   58     241    90      30      887     3      977    
1231   76     301    200     37      730     222    930    
1237   61     248    134     4       855     10     989    
1295   81     330    107     22      858     14     965    
1299   86     348    134     4       817     176    951    
1335   78     315    134     0       886     2      1020   
1370   46     180    183     34      1007    158    1190   
1377   84     343    121     21      913     77     1034   
1393   21     80     183     34      1130    0      1313   
1419   1      1      200     37      1218    0      1418   
1432   42     169    150     15      1113    13     1263   
1455   93     371    161     19      923     24     1084   
1478   91     368    199     20      909     37     1110   
1510   85     345    200     0       965     561    1165   
1515   17     69     150     15      1296    0      1446   
1520   35     145    200     0       1175    4      1375   
1560   16     68     199     20      1293    0      1492   
1570   68     271    161     19      1138    23     1299   
1614   28     115    134     0       1365    639    1499   
1619   26     101    200     37      1318    1      1518   
1639   60     245    200     0       1194    50     1394   
1647   43     171    161     19      1315    5      1476   
1652   67     269    150     15      1233    693    1383   
1676   66     268    199     20      1209    11     1408   
1679   96     380    183     34      1116    31     1299   
1688   51     201    200     37      1287    14     1487   
1702   71     280    183     34      1239    541    1422   

Processes: 126
Avg WT = 441.6,     Avg RT = 64.1,     Avg TRT = 523.7
Migration%:     RTF= 37.3%,     MaxW= 254.8%
Work Steal%: 237.3%
Forked Processes: 20.6%
Killed Processes: 11.9%
Processes Completed Before Deadline: 13.5%

Processors: 8 [2 FCFS, 2 SJF, 3 RR, 1 EDF]
Processors Load
p1 = 1.5%,     p2 = 1.4%,     p3 = 2.1%,     p4 = 1.9%,     p5 = 2.4%,     p6 = 2.4%,     p7 = 2.4%,     p8 = 1.7%,     

Processors Utiliz
p1 = 57.4%,     p2 = 53.3%,     p3 = 82.3%,     p4 = 73.7%,     p5 = 95.0%,     p6 = 93.3%,     p7 = 92.9%,     p8 = 66.1%,     
Avg utilization = 76.8%
